frame,y_norm,action,green_area,edge_penalty,death,reward
35,0.55,1,148.5,False,False,0.08
36,0.43333333333333335,1,157.0,False,False,0.08
37,0.3233333333333333,0,148.0,False,False,0.065
38,0.29333333333333333,0,159.0,False,False,0.08
39,0.27666666666666667,0,153.5,False,False,0.08
40,0.2816666666666667,0,159.5,False,False,0.08
41,0.305,0,155.0,False,False,0.08
42,0.345,0,159.0,False,False,0.08
43,0.40166666666666667,0,158.0,False,False,0.08
44,0.4683333333333333,1,155.5,False,False,0.065
45,0.475,1,151.0,False,False,0.08
46,0.45166666666666666,1,155.0,False,False,0.08
47,0.42,1,158.0,False,False,0.08
48,0.4,1,147.5,False,False,0.08
49,0.28,1,157.0,False,False,0.08
50,0.18,1,153.0,False,False,0.08
51,0.125,1,158.0,False,False,0.08
52,0.125,1,158.0,False,False,0.08
53,0.14333333333333334,0,154.5,False,False,0.065
54,0.17666666666666667,0,159.5,False,False,0.08
55,0.22833333333333333,0,162.0,False,False,0.08
56,0.33166666666666667,0,146.5,False,False,0.08
57,0.41,0,147.0,False,False,0.08
58,0.4583333333333333,0,166.0,False,False,0.08
59,0.5583333333333333,1,149.0,False,False,0.065
60,0.585,1,151.0,False,False,0.08
61,0.5833333333333334,1,163.5,False,False,0.08
62,0.5733333333333334,0,158.0,False,False,0.065
63,0.59,0,156.5,False,False,0.08
64,0.6316666666666667,0,158.0,False,False,0.08
65,0.6683333333333333,1,160.0,False,False,0.065
66,0.66,1,156.5,False,False,0.08
67,0.6266666666666667,1,154.0,False,False,0.08
68,0.5783333333333334,0,157.0,False,False,0.065
69,0.57,0,155.5,False,False,0.08
70,0.5833333333333334,0,157.5,False,False,0.08
71,0.6116666666666667,0,156.0,False,False,0.08
72,0.6483333333333333,1,161.5,False,False,0.065
73,0.6366666666666667,1,157.5,False,False,0.08
74,0.6,1,158.0,False,False,0.08
75,0.5416666666666666,1,157.5,False,False,0.08
76,0.465,1,155.5,False,False,0.08
77,0.36666666666666664,1,154.5,False,False,0.08
78,0.3,1,152.0,False,False,0.08
79,0.17,1,148.5,False,False,0.08
80,0.12666666666666668,1,154.5,False,False,0.08
81,0.125,1,161.5,False,False,0.08
82,0.12333333333333334,1,160.0,False,False,0.08
83,0.12333333333333334,1,158.5,False,False,0.08
84,0.14166666666666666,0,154.0,False,False,0.065
85,0.17666666666666667,0,160.5,False,False,0.08
86,0.26666666666666666,0,142.5,False,False,0.08
87,0.33166666666666667,0,149.5,False,False,0.08
88,0.41,0,150.0,False,False,0.08
89,0.5116666666666667,1,147.5,False,False,0.065
90,0.505,1,155.0,False,False,0.08
91,0.5033333333333333,1,164.0,False,False,0.08
92,0.4766666666666667,1,156.0,False,False,0.08
93,0.43,1,159.5,False,False,0.08
94,0.35833333333333334,0,166.0,False,False,0.065
95,0.3416666666666667,0,159.5,False,False,0.08
96,0.3416666666666667,0,156.5,False,False,0.08
97,0.3616666666666667,0,160.5,False,False,0.08
98,0.3983333333333333,0,158.0,False,False,0.08
99,0.4533333333333333,0,148.5,False,False,0.08
100,0.53,1,158.0,False,False,0.065
101,0.54,1,160.5,False,False,0.08
102,0.5266666666666666,1,153.5,False,False,0.08
103,0.4866666666666667,1,157.0,False,False,0.08
104,0.43,0,161.5,False,False,0.065
105,0.42,0,159.0,False,False,0.08
106,0.42833333333333334,0,159.0,False,False,0.08
107,0.455,0,157.5,False,False,0.08
108,0.49666666666666665,0,160.5,False,False,0.08
109,0.595,0,148.0,False,False,0.08
110,0.6366666666666667,0,153.0,False,False,0.08
111,0.7166666666666667,0,170.0,False,False,0.08
112,0.7966666666666666,0,147.0,False,False,0.08
113,0.8233333333333334,0,143.0,False,False,0.08
114,0.5,1,0.0,False,False,0.0
115,0.5,1,0.0,False,False,0.0
116,0.8233333333333334,1,0.0,False,True,-5.0
0,0.44333333333333336,1,1677.0,False,False,0.065
1,0.44333333333333336,1,1677.0,False,False,0.08
2,0.44333333333333336,1,1677.0,False,False,0.08
3,0.44333333333333336,0,1677.0,False,False,0.065
4,0.42833333333333334,0,160.5,False,False,0.08
5,0.5,0,0.0,False,False,0.08
6,0.47333333333333333,1,157.0,False,False,0.065
7,0.48,1,148.5,False,False,0.08
8,0.49,1,160.5,False,False,0.08
9,0.5033333333333333,1,156.0,False,False,0.08
10,0.5483333333333333,0,155.5,False,False,0.065
11,0.6,0,150.0,False,False,0.08
12,0.6683333333333333,0,149.0,False,False,0.08
13,0.7533333333333333,1,153.5,False,False,0.065
14,0.7683333333333333,1,158.5,False,False,0.08
15,0.7633333333333333,1,159.5,False,False,0.08
16,0.745,0,155.0,False,False,0.065
17,0.7616666666666667,0,154.5,False,False,0.08
18,0.7866666666666666,0,163.0,False,False,0.08
19,0.845,0,165.0,False,False,0.08
20,0.8633333333333333,1,159.0,False,False,0.065
21,0.835,1,157.5,False,False,0.08
22,0.7716666666666666,1,156.5,False,False,0.08
23,0.7033333333333334,0,159.0,False,False,0.065
24,0.6816666666666666,0,162.0,False,False,0.08
25,0.6783333333333333,0,155.5,False,False,0.08
26,0.695,0,156.5,False,False,0.08
27,0.7283333333333334,0,162.0,False,False,0.08
28,0.77,1,152.5,False,False,0.065
